运动学片段,车辆编号,加速时间(s),减速时间(s),怠速时间(s),匀速时间(s),行停时间比例,行驶距离(m),最大速度(m/s),平均速度(m/s),平均行驶速度(m/s),速度标准差,最大加速度(m/s^2),平均加速度(m/s^2),最大减速度(m/s^2),平均减速度(m/s^2),加速度标准差,怠速时间比,加速时间比,减速时间比,匀速时间比,平均发动机转速,平均扭矩百分比,平均发动机负荷百分比
10,1,31,23,4,8,56.0,465.55869363314326,12.13888888888889,7.05391960050217,7.509011187631343,3.6087767323873385,2.138888888888889,0.5044802867383514,-1.8888888888888888,-0.6847826086956522,0.3522200721157046,0.06060606060606061,0.4696969696969697,0.3484848484848485,0.12121212121212122,1239.560606060606,25.71212121212121,31.28787878787879
11,1,79,62,39,28,141.71794871794873,1754.58460406096,11.805555555555555,8.43550290413923,10.382157420479054,4.336442800253833,1.3333333333333333,0.3857243319268638,-1.8055555555555556,-0.4829749103942653,0.27065362755848504,0.1875,0.3798076923076923,0.2980769230769231,0.1346153846153846,1193.3990384615386,24.091346153846153,29.41826923076923
12,1,23,25,13,10,48.76923076923077,322.7445600289228,7.611111111111111,4.5456980285763775,5.564561379809014,2.5233622590651636,1.3055555555555554,0.489130434782609,-1.4444444444444444,-0.45111111111111124,0.3198499978073188,0.18309859154929578,0.323943661971831,0.352112676056338,0.14084507042253522,1062.056338028169,21.816901408450704,27.267605633802816
13,1,8,5,7,1,13.142857142857142,52.84508120745791,4.777777777777778,2.5164324384503765,3.774648657675565,1.9058389788272554,1.6944444444444444,0.6145833333333334,-1.3888888888888888,-0.7888888888888889,0.5431669926868204,0.3333333333333333,0.38095238095238093,0.23809523809523808,0.047619047619047616,1027.047619047619,22.571428571428573,28.19047619047619
14,1,32,32,25,15,64.6,423.8944205883644,8.555555555555555,4.075907890272735,5.3657521593463855,2.867827519862366,1.4166666666666667,0.42621527777777785,-0.916666666666667,-0.39843749999999994,0.3059978943906768,0.2403846153846154,0.3076923076923077,0.3076923076923077,0.14423076923076922,1055.7692307692307,20.096153846153847,25.0
15,1,11,11,87,7,22.080459770114942,104.53373216577384,3.6666666666666665,0.9011528634980503,3.6046114539922014,1.0898454170114167,1.4722222222222219,0.4646464646464646,-1.1388888888888888,-0.4621212121212121,0.39195954181542914,0.75,0.09482758620689655,0.09482758620689655,0.0603448275862069,747.2327586206897,19.54310344827586,24.974137931034484
16,1,19,13,9,15,33.666666666666664,185.83790652720808,4.527777777777778,3.3185340451287155,3.9539980112171933,1.924316798898668,2.3333333333333335,0.4444444444444445,-1.0833333333333335,-0.5470085470085471,0.5192055459645668,0.16071428571428573,0.3392857142857143,0.23214285714285715,0.26785714285714285,996.3928571428571,19.25,24.107142857142858
17,1,24,20,46,12,44.26086956521739,240.20966645094566,7.444444444444445,2.3549967299112318,4.289458329481173,2.1581305555533317,1.861111111111111,0.5763888888888888,-2.3055555555555554,-0.7027777777777777,0.49432543823769465,0.45098039215686275,0.23529411764705882,0.19607843137254902,0.11764705882352941,873.2745098039215,21.352941176470587,27.0
18,1,25,35,9,18,62.0,452.1549734908069,8.5,5.197183603342609,5.796858634497525,2.6103840759742445,1.5,0.5377777777777779,-0.777777777777778,-0.3746031746031746,0.3470226092894016,0.10344827586206896,0.28735632183908044,0.40229885057471265,0.20689655172413793,1072.1724137931035,23.057471264367816,28.54022988505747
19,1,3,4,42,0,7.0,27.038936803343752,2.888888888888889,0.5518150368029338,3.862705257620536,0.7510788541174019,2.4444444444444446,0.9629629629629629,-0.6944444444444444,-0.4444444444444444,1.0485472345845976,0.8571428571428571,0.061224489795918366,0.08163265306122448,0.0,734.6530612244898,19.0,24.26530612244898
20,1,90,81,11,41,174.72727272727272,1543.5394099503744,10.472222222222221,6.921701389911993,7.280846273350822,2.7831052788988466,1.6111111111111112,0.45370370370370333,-1.5555555555555558,-0.4958847736625515,0.29894648121069745,0.04932735426008968,0.40358744394618834,0.3632286995515695,0.18385650224215247,1201.4304932735427,22.766816143497756,27.946188340807176
21,1,28,21,33,16,49.484848484848484,501.26645270892766,10.38888888888889,5.114963803152323,7.711791580137349,4.108800746380331,2.888888888888889,0.43948412698412703,-1.5555555555555556,-0.578042328042328,0.5149363826174154,0.336734693877551,0.2857142857142857,0.21428571428571427,0.16326530612244897,1096.204081632653,20.591836734693878,25.43877551020408
22,1,30,19,44,14,49.31818181818182,457.89724429807603,11.055555555555555,4.27941349811286,7.268210226953588,4.2169844908586676,1.8611111111111112,0.39444444444444454,-1.555555555555556,-0.6096491228070174,0.34860096635674437,0.411214953271028,0.2803738317757009,0.17757009345794392,0.1308411214953271,1035.0747663551401,20.766355140186917,25.757009345794394
23,1,29,16,43,13,45.30232558139535,430.32188517949743,11.583333333333334,4.260612724549479,7.419342847922369,4.292815898548284,1.6388888888888888,0.3975095785440614,-1.2777777777777772,-0.6614583333333333,0.30131182678092794,0.42574257425742573,0.2871287128712871,0.15841584158415842,0.12871287128712872,1033.1881188118812,20.485148514851485,25.633663366336634
24,1,9,11,26,3,20.115384615384617,64.18604780989017,5.277777777777778,1.309919343058983,2.79069773086479,1.801745394126896,2.0,0.6574074074074076,-1.1388888888888888,-0.49747474747474746,0.6523672205114273,0.5306122448979592,0.1836734693877551,0.22448979591836735,0.061224489795918366,840.8979591836735,18.367346938775512,23.26530612244898
25,1,49,32,77,25,81.32467532467533,1122.074645344424,14.63888888888889,6.131555439040568,10.585609861739849,5.544335562927437,2.0,0.3973922902494334,-1.9722222222222217,-0.5737847222222222,0.3314004846564911,0.4207650273224044,0.2677595628415301,0.17486338797814208,0.1366120218579235,1118.8032786885246,23.39344262295082,28.825136612021858
26,1,45,35,26,17,80.65384615384616,710.0631916493815,11.38888888888889,5.772871476824239,7.320239089168881,3.751319040022088,2.111111111111111,0.5129629629629631,-2.25,-0.6579365079365079,0.3507096470241089,0.21138211382113822,0.36585365853658536,0.2845528455284553,0.13821138211382114,1133.4146341463415,22.30081300813008,27.365853658536587
27,1,4,7,72,2,11.027777777777779,58.69802031297683,4.75,0.6905649448585509,4.515232331767448,1.306537896882225,1.861111111111111,1.1875,-1.6111111111111112,-0.6706349206349207,0.5532504260735975,0.8470588235294118,0.047058823529411764,0.08235294117647059,0.023529411764705882,832.9411764705883,17.941176470588236,22.694117647058825
28,1,39,25,25,15,64.6,609.6027725862472,12.194444444444445,5.8615651210216075,7.716490792230977,4.391682725109,0.8888888888888888,0.41381766381766394,-2.111111111111111,-0.6399999999999999,0.21199720994057705,0.2403846153846154,0.375,0.2403846153846154,0.14423076923076922,1150.875,23.0,28.471153846153847
29,1,93,76,9,42,173.66666666666666,2095.863275118895,13.25,9.526651250540432,9.93300130388102,3.15639213870903,2.75,0.3637992831541219,-2.916666666666666,-0.42945906432748554,0.31569377568269563,0.04090909090909091,0.42272727272727273,0.34545454545454546,0.19090909090909092,1299.7954545454545,26.436363636363637,31.95
30,1,26,22,40,15,48.375,432.9399735125891,9.25,4.203300713714458,6.872063071628399,3.673341517135053,2.6666666666666665,0.36858974358974367,-1.6111111111111112,-0.43308080808080796,0.477382420172222,0.3883495145631068,0.2524271844660194,0.21359223300970873,0.14563106796116504,1007.1456310679612,19.135922330097088,24.058252427184467
31,1,6,7,17,7,13.411764705882353,43.97738313183413,3.0277777777777777,1.1885779224820034,2.1988691565917065,1.1892579763999984,1.6388888888888888,0.4861111111111111,-0.5833333333333335,-0.3373015873015874,0.5421412925335597,0.4594594594594595,0.16216216216216217,0.1891891891891892,0.1891891891891892,852.7567567567568,17.37837837837838,22.18918918918919
32,1,24,17,20,9,41.45,351.38922823485274,10.36111111111111,5.019846117640753,7.027784564697055,3.9698147199449307,1.8055555555555556,0.4583333333333332,-1.9166666666666667,-0.6143790849673203,0.3779887754990777,0.2857142857142857,0.34285714285714286,0.24285714285714285,0.12857142857142856,1127.2571428571428,22.085714285714285,27.185714285714287
33,1,3,6,30,1,9.033333333333333,25.157271424309037,2.9166666666666665,0.6289317856077259,2.5157271424309036,0.8187814078459976,1.25,0.9722222222222223,-0.47222222222222227,-0.3611111111111111,0.30003429159295647,0.75,0.075,0.15,0.025,795.075,16.9,21.825
34,1,12,9,7,7,22.0,94.85791726028982,5.0,2.710226207436852,3.387782759296065,1.8031302371466584,0.9444444444444443,0.44675925925925924,-1.3055555555555556,-0.6049382716049382,0.2606917271640913,0.2,0.34285714285714286,0.2571428571428571,0.2,905.1428571428571,20.82857142857143,26.34285714285714
35,1,18,19,6,14,39.333333333333336,331.7463283180286,8.25,5.820111023123308,6.504829967020169,2.988889748002547,1.9166666666666667,0.49537037037037046,-1.333333333333333,-0.46491228070175444,0.40711795272972456,0.10526315789473684,0.3157894736842105,0.3333333333333333,0.24561403508771928,1118.4035087719299,21.719298245614034,26.719298245614034
36,1,6,8,13,3,14.23076923076923,30.974094349638964,3.5555555555555554,1.032469811654632,1.8220055499787626,1.0961134450646912,2.5277777777777777,0.6666666666666666,-1.4444444444444444,-0.4444444444444444,0.8722399148948656,0.43333333333333335,0.2,0.26666666666666666,0.1,831.4666666666667,20.633333333333333,26.233333333333334
37,1,13,6,36,3,19.083333333333332,67.76349931205036,3.9722222222222223,1.168336195035351,3.0801590596386528,1.4010205505951163,0.7777777777777778,0.3076923076923077,-1.138888888888889,-0.6527777777777778,0.19382120462305238,0.6206896551724138,0.22413793103448276,0.10344827586206896,0.05172413793103448,787.7068965517242,20.03448275862069,25.603448275862068
38,1,24,22,68,10,46.14705882352941,221.50213392933404,5.25,1.7863075316881778,3.9553952487381077,1.840007649862378,0.7222222222222221,0.3368055555555556,-0.9999999999999999,-0.34469696969696967,0.18998059043701895,0.5483870967741935,0.1935483870967742,0.1774193548387097,0.08064516129032258,834.3951612903226,18.975806451612904,24.080645161290324
39,1,57,43,44,31,100.70454545454545,828.5374191756293,8.5,4.734499538146453,6.3247131234780865,3.0318736540960605,1.1944444444444444,0.3318713450292397,-2.2222222222222223,-0.4315245478036176,0.2531703382738751,0.25142857142857145,0.32571428571428573,0.24571428571428572,0.17714285714285713,1051.1771428571428,20.805714285714284,25.66857142857143
40,1,19,11,22,26,31.181818181818183,343.7493692574587,6.194444444444445,4.407043195608445,6.1383815938831905,3.1246533937018137,1.1111111111111112,0.3640350877192983,-1.25,-0.6111111111111112,0.26427637553797245,0.28205128205128205,0.24358974358974358,0.14102564102564102,0.3333333333333333,929.4230769230769,19.807692307692307,24.96153846153846
41,1,27,20,6,15,49.5,337.946870008783,6.888888888888889,4.969806911893867,5.450755967883596,2.9724637998014543,1.1944444444444446,0.46913580246913583,-1.8333333333333333,-0.6402777777777777,0.3058204363806191,0.08823529411764706,0.39705882352941174,0.29411764705882354,0.22058823529411764,1039.9705882352941,23.352941176470587,29.029411764705884
42,1,51,36,8,16,89.0,574.4099880330704,11.166666666666666,5.174864757054688,5.576796000321072,3.539435816173498,1.7777777777777777,0.39052287581699363,-1.5,-0.5455246913580247,0.3101219376567632,0.07207207207207207,0.4594594594594595,0.32432432432432434,0.14414414414414414,1101.981981981982,22.54954954954955,28.00900900900901
43,1,43,30,50,31,73.62,711.1746232214722,11.13888888888889,4.618017033905663,6.838217530975694,3.8701557228981875,1.6944444444444444,0.31589147286821717,-1.3055555555555554,-0.4212962962962964,0.32327765620627635,0.3246753246753247,0.2792207792207792,0.19480519480519481,0.2012987012987013,1002.961038961039,19.9025974025974,24.88961038961039
44,1,18,15,47,3,33.06382978723404,146.36415483305294,5.833333333333333,1.763423552205457,4.065670967584804,2.1670075629584358,1.5555555555555556,0.44444444444444453,-1.2222222222222223,-0.4777777777777778,0.3943618414638307,0.5662650602409639,0.21686746987951808,0.18072289156626506,0.03614457831325301,839.4096385542168,17.686746987951807,22.686746987951807
45,1,15,12,26,6,27.23076923076923,91.10464896371747,4.472222222222222,1.5441465926053808,2.7607469382944685,1.497521607765214,1.3888888888888888,0.4944444444444445,-1.2777777777777777,-0.6134259259259259,0.32476645613241306,0.4406779661016949,0.2542372881355932,0.2033898305084746,0.1016949152542373,835.7966101694915,18.627118644067796,23.627118644067796
46,1,23,16,68,14,39.205882352941174,287.313335591772,8.694444444444445,2.374490376791504,5.421006331920227,3.1532049202083368,0.9722222222222222,0.4094202898550725,-1.1666666666666665,-0.5885416666666665,0.25931613882808396,0.5619834710743802,0.19008264462809918,0.1322314049586777,0.11570247933884298,873.4793388429752,20.39669421487603,25.636363636363637
47,1,17,19,6,3,36.5,195.61869573866113,6.583333333333333,4.347082127525803,5.0158639932990035,2.3650396998667826,2.0555555555555554,0.511437908496732,-0.9722222222222222,-0.4532163742690059,0.4877827302897273,0.13333333333333333,0.37777777777777777,0.4222222222222222,0.06666666666666667,1032.7777777777778,22.333333333333332,28.177777777777777
48,1,14,5,89,4,19.04494382022472,128.8938068613956,7.277777777777778,1.1508375612624608,5.604078559191113,2.331481363723634,1.8055555555555556,0.5119047619047621,-2.3333333333333335,-1.1555555555555557,0.5054502643838304,0.7946428571428571,0.125,0.044642857142857144,0.03571428571428571,849.4642857142857,18.348214285714285,23.375
49,1,42,20,4,20,67.0,480.4923736276172,9.75,5.587120623576944,5.859663093019722,2.823172568786867,2.0555555555555554,0.36243386243386255,-2.5277777777777777,-0.7861111111111112,0.3089013775115395,0.046511627906976744,0.4883720930232558,0.23255813953488372,0.23255813953488372,1147.406976744186,23.325581395348838,28.569767441860463
50,1,53,28,96,14,81.14583333333333,1572.0001509697709,14.25,8.230367282564245,16.547370010208116,6.549708538427599,1.4166666666666667,0.3941299790356394,-2.7499999999999996,-0.6339285714285715,0.278931388791794,0.5026178010471204,0.2774869109947644,0.14659685863874344,0.07329842931937172,1032.6439790575917,22.308900523560208,27.329842931937172
51,1,44,24,21,24,69.14285714285714,829.1604861943524,11.166666666666666,7.337703417649136,9.012613980373397,3.9843134246780245,2.0277777777777777,0.43939393939393967,-4.249999999999999,-0.820601851851852,0.3434018478387551,0.18584070796460178,0.3893805309734513,0.21238938053097345,0.21238938053097345,1238.1681415929204,25.52212389380531,30.8141592920354
52,1,28,13,3,3,42.0,406.0056499585132,13.277777777777779,8.638418084223684,9.227401135420754,4.200375287678337,3.1666666666666665,0.4732142857142857,-2.0277777777777777,-1.017094017094017,0.5547852865953874,0.06382978723404255,0.5957446808510638,0.2765957446808511,0.06382978723404255,1350.8085106382978,28.382978723404257,34.4468085106383
53,1,20,17,7,7,38.0,191.74441838522404,6.833333333333333,3.7596944781416477,4.357827690573274,2.1713132606343963,1.9444444444444444,0.525,-1.7777777777777777,-0.6078431372549019,0.43566856527116127,0.13725490196078433,0.39215686274509803,0.3333333333333333,0.13725490196078433,1025.764705882353,21.215686274509803,26.333333333333332
54,1,11,14,25,17,25.68,209.18927221425997,6.444444444444445,3.1222279434964175,4.9806969574823805,2.6615580767814855,2.888888888888889,0.6313131313131314,-1.4722222222222223,-0.49999999999999994,0.7478073925397558,0.373134328358209,0.16417910447761194,0.208955223880597,0.2537313432835821,916.179104477612,21.597014925373134,26.970149253731343
55,1,34,41,7,26,78.71428571428571,1631.0249324235529,13.416666666666666,15.10208270762549,16.14876170716389,7.020603016877047,0.5277777777777783,0.23939205311754322,-1.4444444444444442,-0.592140921409214,0.09923394972748716,0.06481481481481481,0.3148148148148148,0.37962962962962965,0.24074074074074073,1240.9814814814815,27.314814814814813,33.425925925925924
56,1,65,36,32,29,101.90625,1165.487986606232,12.916666666666666,7.19437028769279,8.965292204663323,4.338913175542628,3.1666666666666665,0.35555555555555574,-1.4444444444444442,-0.6342592592592593,0.39916817592158577,0.19753086419753085,0.4012345679012346,0.2222222222222222,0.17901234567901234,1190.111111111111,26.604938271604937,32.648148148148145
57,1,32,18,12,16,51.333333333333336,264.21225419462314,6.833333333333333,3.3873365922387584,4.003215972645805,2.305483412614328,0.916666666666667,0.3541666666666667,-1.9166666666666667,-0.6311728395061729,0.19654127358451262,0.15384615384615385,0.41025641025641024,0.23076923076923078,0.20512820512820512,973.7820512820513,22.205128205128204,27.82051282051282
58,1,8,8,119,1,16.008403361344538,112.49855513991643,4.027777777777778,0.8271952583817385,6.617562067053908,1.1241872544400089,1.4444444444444444,0.6423611111111112,-1.138888888888889,-0.6284722222222222,0.46386341829609,0.875,0.058823529411764705,0.058823529411764705,0.007352941176470588,737.1764705882352,25.360294117647058,32.24264705882353
59,1,63,47,3,27,119.0,1031.9977607512408,11.25,7.371412576794577,7.532830370447013,3.3053781599003864,2.4166666666666665,0.4488536155202822,-1.8055555555555556,-0.5939716312056738,0.37641256422823605,0.02142857142857143,0.45,0.3357142857142857,0.19285714285714287,1247.3214285714287,27.67142857142857,33.75
60,1,27,7,7,3,34.42857142857143,189.43772816391743,9.666666666666666,4.305402912816305,5.119938599024795,2.7521518217590097,1.1666666666666667,0.5390946502057613,-1.694444444444444,-0.6865079365079367,0.24360349867503087,0.1590909090909091,0.6136363636363636,0.1590909090909091,0.06818181818181818,1187.2954545454545,27.295454545454547,33.59090909090909
61,1,38,30,17,22,69.29411764705883,975.3658620283514,16.97222222222222,9.115568804003285,10.837398466981682,6.171376028018484,3.6944444444444446,0.44371345029239795,-1.6111111111111103,-0.5453703703703704,0.572741731829054,0.1588785046728972,0.35514018691588783,0.2803738317757009,0.205607476635514,1277.747663551402,29.046728971962615,35.532710280373834
62,1,42,25,72,13,67.18055555555556,676.0275760921294,13.333333333333334,4.4475498427113775,8.450344701151618,4.791941503786731,2.0,0.36177248677248675,-1.4166666666666667,-0.6088888888888889,0.2952499772409417,0.47368421052631576,0.27631578947368424,0.16447368421052633,0.08552631578947369,1007.3486842105264,24.335526315789473,30.18421052631579
63,1,150,91,7,132,259.85714285714283,5223.852453264762,18.52777777777778,13.746980140170425,14.004966362640111,4.050037267565221,2.5,0.3146296296296299,-2.7500000000000013,-0.5177045177045179,0.2522225621360628,0.018421052631578946,0.39473684210526316,0.2394736842105263,0.3473684210526316,1541.9263157894736,31.597368421052632,38.160526315789475
64,1,13,4,16,4,17.25,78.52917027294997,5.694444444444445,2.122410007377026,3.7394842987119032,2.2256840077841895,1.4444444444444444,0.4487179487179488,-1.9444444444444444,-1.1041666666666667,0.35436602464321165,0.43243243243243246,0.35135135135135137,0.10810810810810811,0.10810810810810811,929.5135135135135,24.027027027027028,30.027027027027028
65,1,56,44,55,25,100.45454545454545,971.3886506553699,12.527777777777779,5.396603614752055,7.77110920524296,4.326916715738381,1.5555555555555556,0.36557539682539686,-1.861111111111111,-0.46338383838383845,0.25646280393134513,0.3055555555555556,0.3111111111111111,0.24444444444444444,0.1388888888888889,1071.0444444444445,24.405555555555555,30.083333333333332
66,1,9,5,51,6,14.117647058823529,59.10261579605026,4.611111111111111,0.8324312083950741,2.9551307898025128,1.3163684461602732,1.8055555555555556,0.5092592592592593,-2.361111111111111,-0.9277777777777778,0.4876738548986553,0.7183098591549296,0.1267605633802817,0.07042253521126761,0.08450704225352113,819.7887323943662,20.366197183098592,26.154929577464788
67,1,19,14,88,12,33.13636363636363,266.60401775842666,7.027777777777778,2.0045414869054636,5.924533727965037,2.696253683514743,3.0555555555555554,0.4795321637426902,-1.4722222222222225,-0.5634920634920636,0.6237946209670535,0.6616541353383458,0.14285714285714285,0.10526315789473684,0.09022556390977443,880.3609022556391,21.76691729323308,27.30075187969925
68,1,7,3,11,5,10.454545454545455,44.10509449815486,3.1666666666666665,1.6963497883905716,2.940339633210324,1.393215628662075,1.8611111111111112,0.43253968253968245,-1.25,-0.8703703703703703,0.5852871931910688,0.4230769230769231,0.2692307692307692,0.11538461538461539,0.19230769230769232,873.3846153846154,23.46153846153846,29.807692307692307
69,1,142,134,35,144,280.1142857142857,4248.532972363579,12.444444444444445,9.337435104095777,10.115554696103759,3.3413637796478484,1.3888888888888888,0.29499217527386556,-1.6944444444444449,-0.31509121061359896,0.23673126681505502,0.07692307692307693,0.3120879120879121,0.2945054945054945,0.31648351648351647,1233.9450549450548,26.48131868131868,32.213186813186816
70,1,67,63,26,66,132.53846153846155,1279.4875669929306,8.944444444444445,5.763457508977165,6.527997790780258,2.499425257069133,1.5555555555555558,0.3088723051409621,-1.3611111111111112,-0.31525573192239875,0.26337111585543355,0.11711711711711711,0.30180180180180183,0.28378378378378377,0.2972972972972973,1068.9594594594594,23.7972972972973,29.445945945945947
71,1,46,30,61,24,76.39344262295081,829.81261415299,10.527777777777779,5.154115615857081,8.2981261415299,4.270813392819114,1.6666666666666667,0.298913043478261,-1.361111111111111,-0.4055555555555556,0.24540768594417375,0.37888198757763975,0.2857142857142857,0.18633540372670807,0.14906832298136646,1054.0496894409937,23.285714285714285,28.757763975155278
72,1,79,64,4,82,163.5,1399.6972061061008,8.416666666666666,6.112214873825768,6.22087647158267,1.757055989903961,1.2777777777777777,0.31012658227848117,-2.055555555555555,-0.38020833333333337,0.22250467193036969,0.017467248908296942,0.34497816593886466,0.2794759825327511,0.35807860262008734,1147.0174672489084,23.427947598253276,28.633187772925766
73,1,216,203,20,347,436.35,10344.850750106687,12.972222222222221,13.161387722782045,13.505027088912124,4.355866720801821,2.1666666666666665,0.2641460905349794,-1.7222222222222219,-0.2723043240284618,0.20920583314936342,0.02544529262086514,0.2748091603053435,0.2582697201017812,0.44147582697201015,1250.3778625954199,26.790076335877863,32.42493638676845
74,1,84,82,3,54,184.0,1037.7543852379483,7.722222222222222,4.653607108690351,4.71706538744522,1.7887457506740503,3.0833333333333335,0.32457010582010587,-0.9999999999999999,-0.32723577235772355,0.3390559518734509,0.013452914798206279,0.37668161434977576,0.36771300448430494,0.242152466367713,1075.340807174888,22.260089686098656,27.57847533632287
75,1,11,5,28,1,16.035714285714285,37.763307820657346,3.0277777777777777,0.8391846182368299,2.2213710482739617,0.9045330417390712,0.6666666666666665,0.3055555555555556,-1.1111111111111112,-0.5611111111111111,0.19677535089674908,0.6222222222222222,0.24444444444444444,0.1111111111111111,0.022222222222222223,708.3333333333334,22.133333333333333,28.42222222222222
76,1,40,33,15,25,74.66666666666667,507.2244006253561,9.027777777777779,4.488711509958904,5.175759190054654,3.113327913741508,1.416666666666667,0.36111111111111127,-1.3055555555555556,-0.44444444444444436,0.2592427243404467,0.13274336283185842,0.35398230088495575,0.2920353982300885,0.22123893805309736,990.5840707964602,23.513274336283185,29.300884955752213
77,1,209,177,9,122,399.55555555555554,5906.782195851349,19.75,11.425110630273402,11.627524007581394,4.398470428075653,2.166666666666667,0.3737858957157199,-2.527777777777778,-0.47614563716258645,0.28175677220791634,0.017408123791102514,0.40425531914893614,0.34235976789168276,0.23597678916827852,1361.0232108317214,29.682785299806575,35.77756286266924
78,1,161,92,30,114,256.8,5349.2468895343745,18.944444444444443,13.474173525275502,14.575604603635897,5.588809632360715,1.8333333333333333,0.37025534851621794,-2.2500000000000004,-0.6570048309178742,0.25371589316175674,0.07556675062972293,0.40554156171284633,0.23173803526448364,0.2871536523929471,1416.4534005037783,30.43073047858942,36.74307304785894
79,1,66,48,2,29,128.5,1065.0075996688452,10.722222222222221,7.344879997716173,7.447605592089826,2.7700354114264036,3.1944444444444446,0.4865319865319867,-2.2500000000000004,-0.6481481481481483,0.45937776174865874,0.013793103448275862,0.45517241379310347,0.3310344827586207,0.2,1261.8,26.675862068965518,32.255172413793105
80,1,50,33,11,20,84.81818181818181,908.0218985598449,12.916666666666666,7.965104373331973,8.815746587959659,3.7944252614984992,1.611111111111111,0.3361111111111113,-2.4999999999999996,-0.4949494949494949,0.2967545645898952,0.09649122807017543,0.43859649122807015,0.2894736842105263,0.17543859649122806,1228.1315789473683,27.56140350877193,33.56140350877193
81,1,53,46,3,33,110.0,1353.691256262096,13.36111111111111,10.027342638978489,10.255236789864364,3.350575582222517,2.3333333333333335,0.3322851153039836,-2.166666666666667,-0.3743961352657005,0.3772966115116906,0.022222222222222223,0.3925925925925926,0.34074074074074073,0.24444444444444444,1290.2444444444445,27.762962962962963,33.474074074074075
82,1,31,14,67,14,45.208955223880594,469.36123327536336,11.777777777777779,3.7250891529790744,7.955275140260396,4.540989735203686,1.1111111111111112,0.3933691756272402,-2.861111111111111,-0.8611111111111113,0.20523038969198418,0.5317460317460317,0.24603174603174602,0.1111111111111111,0.1111111111111111,970.2777777777778,23.246031746031747,28.984126984126984
