age,workClass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
22,6,311512,2,10,4,5,3,2,1,0,0,15,3,0
48,2,242406,5,7,5,4,2,1,1,0,0,40,15,0
21,2,197200,2,10,5,4,4,1,1,0,0,40,3,0
19,2,544091,11,9,0,10,1,1,0,0,0,25,3,0
31,2,84154,2,10,4,7,3,1,1,0,0,38,3,1
48,0,265477,8,12,4,6,3,1,1,0,0,40,3,0
31,2,507875,15,5,4,4,3,1,1,0,0,43,3,0
53,0,88506,4,13,4,6,3,1,1,0,0,40,3,0
24,2,172987,4,13,4,8,3,1,1,0,0,50,3,0
49,2,94638,11,9,3,10,2,1,0,0,0,40,3,0
25,2,289980,11,9,5,1,0,1,1,0,0,35,3,0
57,1,337895,4,13,4,6,3,2,1,0,0,40,3,1
53,2,144361,11,9,4,4,3,1,1,0,0,38,3,0
44,2,128354,9,14,1,9,2,1,0,0,0,40,3,0
41,6,101603,3,11,4,13,3,1,1,0,0,40,3,0
29,2,271466,3,11,5,6,0,1,1,0,0,43,3,0
25,2,32275,2,10,4,9,1,0,0,0,0,40,3,0
18,2,226956,11,9,5,5,4,1,0,0,0,30,3,0
47,2,51835,14,15,4,6,1,1,0,0,1902,60,37,1
50,1,251585,4,13,1,9,0,1,1,0,0,55,3,1
47,3,109832,11,9,1,9,0,1,1,0,0,60,3,0
43,2,237993,2,10,4,8,3,1,1,0,0,40,3,1
46,2,216666,6,3,4,4,3,1,1,0,0,40,34,0
35,2,56352,3,11,4,5,3,1,1,0,0,40,15,0
41,2,147372,11,9,4,10,3,1,1,0,0,48,3,0
30,2,188146,11,9,4,4,3,1,1,5013,0,40,3,0
30,2,59496,4,13,4,7,3,1,1,2407,0,40,3,0
32,2,293936,1,4,2,7,0,1,1,0,0,40,3,0
48,2,149640,11,9,4,2,3,1,1,0,0,40,3,0
42,2,116632,10,16,4,6,3,1,1,0,0,45,3,1
29,2,105598,2,10,1,8,0,1,1,0,0,58,3,0
36,2,155537,11,9,4,13,3,1,1,0,0,40,3,0
28,2,183175,2,10,1,10,0,1,0,0,0,40,3,0
53,2,169846,11,9,4,10,1,1,0,0,0,40,3,1
49,3,191681,2,10,4,9,3,1,1,0,0,50,3,1
25,3,200681,2,10,5,9,4,1,1,0,0,40,3,0
19,2,101509,2,10,5,6,4,1,1,0,0,32,3,0
31,2,309974,4,13,3,7,4,2,0,0,0,40,3,0
29,0,162298,4,13,4,7,3,1,1,0,0,70,3,1
23,2,211678,2,10,5,4,0,1,1,0,0,40,3,0
79,2,124744,2,10,4,6,5,1,1,0,0,20,3,0
27,2,213921,11,9,5,5,4,1,1,0,0,40,34,0
40,2,32214,8,12,4,10,3,1,1,0,0,40,3,0
67,2,212759,0,6,4,10,3,1,1,0,0,2,3,0
18,2,309634,5,7,5,5,4,1,0,0,0,22,3,0
31,5,125927,1,4,4,0,3,1,1,0,0,40,3,0
18,2,446839,11,9,5,7,0,1,1,0,0,30,3,0
52,2,276515,4,13,4,5,3,1,1,0,0,40,17,0
46,2,51618,11,9,4,5,1,1,0,0,0,40,3,0
59,2,159937,11,9,4,7,3,1,1,0,0,48,3,0
44,2,343591,11,9,1,13,0,1,0,14344,0,40,3,1
53,2,346253,11,9,1,7,4,1,0,0,0,35,3,0
49,5,268234,11,9,4,3,3,1,1,0,0,40,3,1
33,2,202051,9,14,4,6,3,1,1,0,0,50,3,0
30,2,54334,15,5,5,7,0,1,1,0,0,40,3,0
43,1,410867,10,16,5,6,0,1,0,0,0,50,3,1
57,2,249977,3,11,4,6,3,1,1,0,0,40,3,0
37,2,286730,2,10,1,13,2,1,0,0,0,40,3,0
28,2,212563,2,10,1,4,2,2,0,0,0,25,3,0
30,2,117747,11,9,4,7,1,4,0,0,1573,35,3,0
34,5,226296,4,13,4,3,3,1,1,0,0,40,3,1
29,5,115585,2,10,5,1,0,1,1,0,0,50,3,0
48,0,191277,10,16,4,6,3,1,1,0,1902,60,3,1
37,2,202683,2,10,4,7,3,1,1,0,0,48,3,1
48,2,171095,8,12,1,9,2,1,0,0,0,40,10,0
32,1,249409,11,9,5,5,4,2,1,0,0,40,3,0
76,2,124191,9,14,4,9,3,1,1,0,0,40,3,1
44,2,198282,4,13,4,9,3,1,1,15024,0,60,3,1
47,0,149116,9,14,5,6,0,1,0,0,0,50,3,0
20,2,188300,2,10,5,8,4,1,0,0,0,40,3,0
29,2,103432,11,9,5,13,0,1,1,0,0,40,3,0
32,3,317660,11,9,4,13,3,1,1,7688,0,40,3,1
17,3,304873,0,6,5,13,4,1,0,34095,0,32,3,0
30,2,194901,5,7,5,1,4,1,1,0,0,40,3,0
31,5,189265,11,9,5,10,0,1,0,0,0,40,3,0
42,2,124692,11,9,4,1,3,1,1,0,0,40,3,0
24,2,432376,4,13,5,7,5,1,1,0,0,40,3,0
38,2,65324,14,15,4,6,3,1,1,0,0,40,3,1
56,0,335605,11,9,4,5,3,1,1,0,1887,50,20,1
28,2,377869,2,10,4,7,1,1,0,4064,0,25,3,0
36,2,102864,11,9,5,4,4,1,0,0,0,40,3,0
53,2,95647,15,5,4,1,3,1,1,0,0,50,3,0
56,3,303090,2,10,4,7,3,1,1,0,0,50,3,0
49,5,197371,3,11,4,13,3,2,1,0,0,40,3,1
55,2,247552,2,10,4,7,3,1,1,0,0,56,3,0
22,2,102632,11,9,5,13,0,1,1,0,0,41,3,0
21,2,199915,2,10,5,5,4,1,0,0,0,40,3,0
40,2,118853,4,13,4,9,3,1,1,0,0,60,3,0
30,2,77143,4,13,5,9,4,2,1,0,0,40,35,0
29,6,267989,4,13,4,6,3,1,1,0,0,50,3,1
19,2,301606,2,10,5,5,4,2,1,0,0,35,3,0
47,2,287828,4,13,4,9,1,1,0,0,0,40,3,1
20,2,111697,2,10,5,10,4,1,0,0,1719,28,3,0
31,2,114937,8,12,4,10,3,1,1,0,0,40,3,1
35,2,129305,11,9,4,10,3,1,1,0,0,40,3,0
39,2,365739,2,10,1,13,0,1,1,0,0,40,3,0
28,2,69621,8,12,5,7,0,1,0,0,0,60,3,0
24,2,43323,11,9,5,5,0,1,0,0,1762,40,3,0
38,0,120985,11,9,4,13,3,1,1,4386,0,35,3,0
37,2,254202,4,13,4,7,3,1,1,0,0,50,3,0
46,2,146195,8,12,1,8,0,2,0,0,0,36,3,0
38,1,125933,9,14,4,6,3,1,1,0,0,40,29,1
43,0,56920,11,9,4,13,3,1,1,0,0,60,3,0
27,2,163127,3,11,4,10,1,1,0,0,0,35,3,0
20,2,34310,2,10,5,7,4,1,1,0,0,20,3,0
49,2,81973,2,10,4,13,3,4,1,0,0,40,3,1
61,3,66614,11,9,4,13,3,1,1,0,0,40,3,0
27,2,232782,2,10,5,7,4,1,0,0,0,40,3,0
19,2,316868,2,10,5,5,4,1,1,0,0,30,34,0
45,2,196584,3,11,5,6,0,1,0,0,1564,40,3,1
70,2,105376,2,10,5,8,5,1,1,0,0,40,3,0
31,2,185814,11,9,5,2,2,2,0,0,0,30,3,0
22,2,175374,2,10,4,5,3,1,1,0,0,24,3,0
36,2,108293,11,9,6,5,2,1,0,0,0,24,3,0
64,2,181232,5,7,4,13,3,1,1,0,2179,40,3,0
43,2,174662,2,10,1,13,0,1,0,0,0,40,3,0
47,5,186009,2,10,1,10,2,1,0,0,0,38,34,0
34,2,198183,11,9,5,10,0,1,0,0,0,40,3,0
33,2,163003,4,13,5,9,5,4,0,0,0,40,22,0
21,2,296158,11,9,5,13,4,1,1,0,0,35,3,0
52,2,252903,11,9,1,13,0,1,1,0,0,45,3,1
48,2,187715,11,9,4,13,3,1,1,0,0,46,3,0
23,2,214542,4,13,5,1,0,1,1,0,0,40,3,0
71,0,494223,2,10,3,7,2,2,1,0,1816,2,3,0
29,2,191535,11,9,1,13,0,1,1,0,0,60,3,0
42,2,228456,4,13,3,5,5,2,1,0,0,50,3,0
68,2,38317,13,2,1,5,0,1,0,0,0,20,3,0
25,2,252752,11,9,5,5,2,1,0,0,0,40,3,0
44,3,78374,9,14,1,9,2,4,0,0,0,40,3,0
28,2,88419,11,9,5,9,0,4,0,0,0,40,10,0
45,0,201080,9,14,4,7,3,1,1,0,0,40,3,1
36,2,207157,2,10,1,5,2,1,0,0,0,40,34,0
39,1,235485,8,12,5,9,0,1,1,0,0,42,3,0
46,6,102628,9,14,6,3,2,1,1,0,0,40,3,0
18,2,25828,5,7,5,1,4,1,1,0,0,16,3,0
66,5,54826,3,11,6,6,0,1,0,0,0,20,3,0
27,2,124953,11,9,5,5,0,1,1,0,1980,40,3,0
28,6,175325,11,9,4,3,3,1,1,0,0,40,3,0
51,2,96062,2,10,4,7,3,1,1,0,1977,40,3,1
27,2,428030,4,13,5,13,0,1,1,0,0,50,3,0
28,6,149624,4,13,4,6,3,1,1,0,0,40,3,1
27,2,253814,11,9,2,7,2,1,0,0,0,25,3,0
21,2,312956,11,9,5,13,4,2,1,0,0,40,3,0
34,2,483777,11,9,5,1,0,2,1,0,0,40,3,0
18,2,183930,11,9,5,5,4,1,1,0,0,12,3,0
33,2,37274,4,13,4,6,3,1,1,0,0,65,3,0
44,5,181344,2,10,4,9,3,2,1,0,0,38,3,1
43,2,114580,2,10,1,10,0,1,0,0,0,40,3,0
30,2,633742,2,10,5,13,0,2,1,0,0,45,3,0
40,2,286370,1,4,4,4,3,1,1,0,0,40,34,1
37,1,29054,2,10,4,10,3,1,1,0,0,42,3,1
34,2,304030,11,9,4,10,3,2,1,0,0,40,3,0
41,0,143129,4,13,1,9,0,1,0,0,0,40,3,0
53,0,135105,4,13,1,9,0,1,0,0,0,50,3,0
31,2,99928,9,14,4,6,1,1,0,0,0,50,3,0
58,6,109567,10,16,4,6,3,1,1,0,0,1,3,1
38,2,155222,2,10,1,4,0,2,0,0,0,28,3,0
24,2,159567,2,10,4,4,3,1,1,0,0,40,3,0
41,5,523910,4,13,4,13,3,2,1,0,0,40,3,0
47,2,120939,2,10,4,8,3,1,1,0,0,45,3,0
41,1,130760,4,13,4,8,3,1,1,0,0,24,3,0
23,2,197387,6,3,4,2,5,1,1,0,0,40,34,0
36,2,99374,2,10,1,13,0,1,1,0,0,40,3,0
40,1,56795,9,14,5,9,0,1,0,14084,0,55,3,1
35,2,138992,9,14,4,6,5,1,1,7298,0,40,3,1
24,0,32921,11,9,5,7,0,1,1,0,0,40,3,0
26,2,397317,9,14,5,6,0,1,0,0,1876,40,3,0
19,2,170653,11,9,5,6,4,1,1,0,0,40,19,0
51,2,259323,4,13,4,9,3,1,1,0,0,50,3,1
42,5,254817,2,10,5,6,0,1,0,0,1340,40,3,0
37,6,48211,11,9,1,10,2,1,0,0,0,35,3,0
18,2,140164,5,7,5,7,4,1,0,0,0,40,3,0
36,2,128757,4,13,4,5,3,2,1,7298,0,36,3,1
35,2,36270,11,9,1,13,0,1,1,0,0,60,3,0
58,3,210563,11,9,4,7,1,1,0,15024,0,35,3,1
17,2,65368,5,7,5,7,4,1,0,0,0,12,3,0
44,5,160943,11,9,4,2,3,2,1,0,0,40,3,0
37,2,208358,11,9,4,13,3,1,1,0,0,40,3,1
35,2,153790,2,10,5,7,0,3,0,0,0,40,3,0
60,2,85815,11,9,4,13,3,4,1,0,0,40,3,0
54,3,125417,1,4,4,4,3,1,1,0,0,40,3,1
37,2,635913,4,13,5,9,0,2,1,0,0,60,3,1
50,2,313321,8,12,1,7,0,1,0,0,0,40,3,0
38,2,182609,4,13,4,7,3,1,1,0,0,50,33,0
45,2,109434,4,13,4,6,3,1,1,0,0,55,3,0
25,2,255004,0,6,5,13,0,1,1,0,0,40,3,0
31,2,197860,2,10,4,1,3,1,1,0,0,40,3,0
64,2,187656,13,2,1,1,0,1,1,0,0,40,3,0
90,2,51744,11,9,5,5,0,2,1,0,2206,40,3,0
54,2,176681,11,9,4,10,3,2,1,0,0,20,3,0
53,5,140359,12,1,5,4,0,1,0,0,0,35,3,0
18,2,243313,11,9,5,7,4,1,0,0,0,40,3,0
60,2,24215,0,6,1,7,0,3,0,0,0,10,3,0
66,0,167687,11,9,4,0,3,1,1,1409,0,50,3,0
75,2,314209,3,11,6,10,0,1,0,0,0,20,28,0
65,2,176796,11,9,1,10,0,1,0,0,0,40,3,0
35,2,538583,5,7,3,2,0,2,1,3674,0,40,3,0
41,2,130408,11,9,1,7,2,2,0,0,0,38,3,0
25,2,159732,2,10,5,10,0,1,1,0,0,42,3,0
33,2,110978,2,10,1,13,5,0,0,0,0,40,3,0
28,2,76714,14,15,5,6,0,1,1,0,0,55,3,1
59,6,268700,11,9,4,5,3,1,1,0,0,40,3,0
40,6,170525,2,10,5,10,0,1,0,0,0,38,3,0
41,2,180138,4,13,4,9,3,1,1,0,0,50,29,1
38,5,115076,9,14,4,9,3,1,1,0,0,70,3,1
23,2,115458,11,9,5,2,4,1,1,0,0,40,3,0
40,2,347890,4,13,4,6,3,1,1,0,0,40,3,1
41,0,196001,11,9,4,5,1,1,0,0,0,20,3,0
24,6,273905,8,12,4,3,3,1,1,0,0,50,3,0
20,6,119156,2,10,5,3,4,1,1,0,0,20,3,0
38,2,179488,2,10,1,13,0,1,1,0,1741,40,3,0
56,2,203580,11,9,4,10,3,1,1,0,0,35,3,0
58,2,236596,11,9,4,10,3,1,1,0,0,45,3,1
32,2,183916,11,9,5,5,0,1,0,0,0,34,3,0
40,2,207578,8,12,4,8,3,1,1,0,1977,60,3,1
45,2,153141,11,9,4,10,3,1,1,0,0,40,3,0
41,2,112763,14,15,4,6,1,1,0,0,0,40,3,1
42,2,390781,4,13,4,10,1,2,0,0,0,40,3,0
59,5,171328,0,6,6,5,2,2,0,0,0,30,3,0
19,5,27382,2,10,5,10,4,1,1,0,0,40,3,0
58,2,259014,2,10,5,2,0,1,1,0,0,20,3,0
42,0,303044,11,9,4,0,3,4,1,0,0,40,18,1
20,2,117789,11,9,5,5,4,1,0,0,0,40,3,0
32,2,172579,11,9,3,5,0,1,0,0,0,30,3,0
45,2,187666,3,11,6,9,0,1,0,0,0,45,3,0
50,2,204518,1,4,1,13,0,1,1,0,0,40,3,0
36,2,150042,4,13,1,6,4,1,0,0,0,40,3,0
45,2,98092,11,9,4,7,3,1,1,0,0,60,3,0
17,2,245918,5,7,5,5,4,1,1,0,0,12,3,0
59,2,146013,2,10,4,7,3,1,1,4064,0,40,3,0
26,2,378322,5,7,4,13,3,1,1,0,0,40,3,0
37,3,257295,2,10,4,9,3,4,1,0,0,75,8,1
19,3,218956,2,10,5,9,4,1,1,0,0,24,20,0
64,2,21174,11,9,4,9,3,1,1,0,0,40,3,1
33,2,185480,4,13,5,6,0,1,0,0,0,45,3,0
33,2,222205,11,9,4,13,1,1,0,0,0,40,3,1
61,2,69867,11,9,4,9,3,1,1,0,0,40,3,1
17,2,191260,15,5,5,5,4,1,1,1055,0,24,3,0
50,0,30653,9,14,4,0,3,1,1,2407,0,98,3,0
27,5,209109,9,14,5,6,4,1,1,0,0,35,3,0
30,2,70377,11,9,1,6,4,1,0,0,0,40,3,0
43,2,477983,11,9,4,1,3,2,1,0,0,40,3,0
44,2,170924,2,10,4,13,3,1,1,7298,0,40,3,1
35,2,190174,2,10,5,9,0,1,0,0,0,40,3,0
25,2,193787,2,10,5,8,4,1,0,0,0,40,3,0
24,2,279472,2,10,4,4,1,1,0,7298,0,48,3,1
22,2,34918,4,13,5,6,0,1,0,0,0,15,35,0
42,5,97688,2,10,4,13,3,1,1,5178,0,40,3,1
34,2,175413,8,12,1,7,2,2,0,0,0,45,3,0
60,2,173960,4,13,1,6,0,1,0,0,0,42,3,0
21,2,205759,11,9,5,1,4,1,1,0,0,40,3,0
57,1,425161,9,14,4,7,3,1,1,15024,0,40,3,1
41,2,220531,14,15,4,6,3,1,1,0,0,60,3,1
50,2,176609,2,10,1,5,0,1,1,0,0,45,3,0
25,2,371987,4,13,5,9,0,1,0,0,0,40,3,0
50,2,193884,1,4,4,13,3,1,1,0,0,40,11,0
36,2,200352,4,13,4,6,3,1,1,0,0,45,3,0
31,2,127595,11,9,1,6,0,1,0,0,0,40,3,0
29,5,220419,4,13,5,3,0,1,1,0,0,56,3,0
21,2,231931,2,10,5,7,4,1,1,0,0,45,3,0
27,2,248402,4,13,5,8,2,2,0,0,0,40,3,0
65,2,111095,11,9,4,2,3,1,1,0,0,16,3,0
37,3,57424,4,13,1,7,0,1,0,0,0,60,3,0
39,3,157443,9,14,4,7,1,4,0,3464,0,40,3,0
24,2,278130,11,9,5,13,4,1,1,0,0,40,3,0
38,2,169469,11,9,1,7,0,1,1,0,0,80,3,0
48,2,146268,4,13,4,10,3,1,1,7688,0,40,3,1
21,2,153718,2,10,5,5,0,4,0,0,0,25,3,0
31,2,217460,11,9,4,2,3,1,1,0,0,45,3,1
55,2,238638,11,9,4,7,3,1,1,4386,0,40,3,1
24,2,303296,2,10,4,10,1,4,0,0,0,40,30,0
43,2,173321,11,9,1,10,0,1,0,0,0,40,3,0
26,2,193945,8,12,5,8,0,1,1,0,0,45,3,0
46,2,83082,8,12,5,6,0,1,0,0,0,33,3,0
35,2,193815,8,12,4,10,3,1,1,0,0,40,3,1
41,3,34987,2,10,4,0,3,1,1,0,0,54,3,1
26,2,59306,4,13,5,7,0,1,1,0,0,40,3,0
34,2,142897,9,14,4,9,3,4,1,7298,0,35,27,1
19,2,860348,2,10,5,9,4,2,0,0,0,25,3,0
36,0,205607,4,13,1,6,0,2,0,0,0,40,3,1
22,2,199698,2,10,5,7,4,1,1,0,0,15,3,0
24,2,191954,2,10,5,4,0,1,1,0,0,40,3,0
77,0,138714,2,10,4,7,3,1,1,0,0,40,3,0
22,2,399087,6,3,4,4,5,1,0,0,0,40,34,0
29,2,423158,2,10,5,8,0,1,0,0,0,40,3,0
62,2,159841,11,9,6,5,0,1,0,0,0,24,3,0
39,0,174308,11,9,4,9,3,1,1,0,0,40,3,0
43,2,50356,2,10,4,13,3,1,1,0,1485,50,3,0
35,2,186110,11,9,1,2,0,1,1,0,0,45,3,0
29,2,200381,5,7,5,9,0,1,0,0,0,40,3,0
76,0,174309,9,14,4,13,3,1,1,0,0,10,3,0
63,0,78383,11,9,4,0,3,1,1,0,0,45,3,0
23,0,211601,3,11,5,0,4,2,0,0,0,15,3,0
43,2,187728,2,10,4,6,1,1,0,0,1887,50,3,1
58,0,321171,11,9,4,1,3,1,1,0,0,40,3,0
66,2,127921,11,9,5,2,0,1,1,2050,0,55,3,0
41,2,206565,2,10,5,13,0,2,1,0,0,45,3,0
26,2,224563,4,13,5,10,0,1,1,0,0,40,3,0
47,2,178686,3,11,5,5,0,1,1,0,0,40,3,0
55,5,98545,0,6,4,10,3,1,1,0,0,40,3,0
53,2,242606,11,9,4,2,3,1,1,0,0,40,3,0
17,2,270942,6,3,5,5,5,1,1,0,0,48,34,0
30,2,94235,11,9,5,13,5,1,1,0,0,40,3,0
49,2,71195,9,14,5,6,0,1,1,0,0,60,3,0
19,2,104112,11,9,5,7,2,2,1,0,0,30,1,0
45,2,261192,11,9,4,5,3,2,1,0,0,40,3,0
26,2,94936,8,12,5,7,0,1,1,0,0,40,3,0
38,2,296478,3,11,4,13,3,1,1,7298,0,40,3,1
36,6,119272,11,9,4,3,3,1,1,7298,0,40,3,1
33,2,85043,11,9,5,0,0,1,1,0,0,20,3,0
22,6,293364,2,10,5,3,4,2,0,0,0,40,3,0
43,0,241895,4,13,5,7,0,1,1,0,0,42,3,0
67,0,36135,5,7,4,7,3,1,1,0,0,8,3,0
30,0,151989,3,11,1,7,2,1,0,0,0,40,3,0
56,2,101128,8,12,2,5,0,1,1,0,0,25,29,0
31,2,156464,4,13,5,6,4,1,1,0,0,25,3,0
33,2,117963,4,13,4,9,3,1,1,0,0,40,3,1
26,2,192262,11,9,4,5,3,1,1,0,0,40,3,0
33,2,111363,4,13,4,9,3,1,1,0,0,40,3,1
46,5,329752,5,7,4,2,3,1,1,0,0,30,3,0
59,5,372020,4,13,4,2,3,1,1,0,0,40,3,1
38,1,95432,11,9,4,10,3,1,1,0,0,40,3,1
65,2,161400,5,7,6,5,2,0,1,0,0,40,3,0
40,2,96129,3,11,4,8,3,1,1,0,0,40,3,1
42,2,111949,11,9,4,10,1,1,0,0,0,35,3,0
26,0,117125,15,5,4,13,3,1,1,0,0,40,4,0
36,2,348022,0,6,4,5,1,1,0,0,0,24,3,0
62,2,270092,9,14,4,6,3,1,1,0,0,40,3,1
43,2,180609,4,13,4,2,3,1,1,0,0,45,3,0
43,2,174575,4,13,1,9,0,1,1,0,1564,45,3,1
22,2,410439,11,9,2,7,0,1,1,0,0,55,3,0
28,2,92262,11,9,4,13,3,1,1,0,0,40,3,0
56,0,183081,2,10,4,7,3,1,1,0,0,45,3,0
22,2,362589,8,12,5,7,0,1,0,0,0,15,3,0
57,2,212448,4,13,1,9,0,1,0,0,0,45,3,1
39,2,481060,11,9,1,7,2,1,0,0,0,40,3,0
26,1,185885,2,10,5,10,2,1,0,0,0,15,3,0
17,2,89821,5,7,5,5,4,1,1,0,0,10,3,0
40,6,184018,3,11,4,4,3,1,1,0,0,38,3,1
45,2,256649,11,9,4,4,3,2,1,0,0,40,3,0
44,2,160323,11,9,5,13,0,2,1,0,0,40,3,0
20,5,350845,2,10,5,10,4,1,0,0,0,10,3,0
33,2,267404,11,9,4,13,1,1,0,0,0,40,3,0
23,2,35633,2,10,5,7,0,1,1,0,0,40,3,0
46,0,80914,9,14,1,9,0,1,1,0,0,30,3,0
38,2,172927,11,9,4,7,3,1,1,0,0,50,3,0
54,2,174319,11,9,1,2,0,1,1,0,0,40,3,0
46,2,214955,6,3,1,13,0,1,0,0,2339,45,3,0
25,2,344991,2,10,4,13,3,1,1,0,0,40,3,0
46,2,108699,2,10,1,7,0,1,0,0,0,40,3,0
36,5,117312,2,10,4,2,1,1,0,0,0,40,3,0
23,2,396099,11,9,5,5,0,1,0,0,0,25,3,0
29,2,134152,11,9,3,4,0,1,1,0,0,40,3,0
44,2,162028,2,10,4,10,1,1,0,0,2415,6,3,1
19,2,25429,2,10,5,10,4,1,0,0,0,16,3,0
19,2,232392,11,9,5,5,5,1,0,0,0,40,3,0
35,2,220098,11,9,4,5,1,1,0,0,0,40,3,1
27,2,301302,4,13,5,13,0,1,1,0,0,50,3,0
46,0,277946,8,12,3,13,0,1,1,0,0,40,3,0
34,6,98101,4,13,4,9,3,1,1,7688,0,45,3,1
34,2,196164,11,9,5,5,0,1,0,0,0,35,3,0
44,2,115562,2,10,4,8,3,1,1,0,0,40,3,0
45,2,96975,2,10,1,1,2,1,0,0,0,40,3,0
20,2,137300,11,9,5,1,5,1,0,0,0,35,3,0
25,2,86872,4,13,4,9,3,1,1,0,0,55,3,1
52,3,132178,4,13,4,9,3,1,1,0,0,50,3,1
20,2,416103,2,10,5,1,4,1,1,0,0,40,3,0
28,2,108574,2,10,5,5,0,1,0,0,0,40,3,0
50,6,288353,4,13,4,3,3,1,1,0,0,40,3,1
34,2,227689,3,11,1,8,0,1,0,0,0,64,3,0
28,2,166481,1,4,4,1,3,0,1,0,2179,40,15,0
41,2,445382,9,14,4,9,3,1,1,0,1977,65,3,1
28,2,110145,11,9,4,10,3,1,1,0,0,40,3,0
46,0,317253,11,9,4,13,3,1,1,0,0,25,3,0
28,0,123147,2,10,4,13,1,1,0,0,1887,40,3,1
32,2,364657,2,10,4,9,3,1,1,0,0,50,3,0
41,5,42346,2,10,1,5,0,2,0,0,0,24,3,0
24,2,241951,11,9,5,1,2,2,0,0,0,40,3,0
33,2,118500,2,10,1,9,2,1,0,0,0,40,3,0
46,2,188386,10,16,4,9,3,1,1,15024,0,60,3,1
31,6,1033222,2,10,4,4,3,1,1,0,0,40,3,0
35,2,92440,7,8,1,13,0,1,1,0,0,50,3,1
52,2,190762,13,2,4,4,3,1,1,0,0,40,34,0
30,2,426017,5,7,5,5,4,1,0,0,0,19,3,0
34,5,243867,5,7,3,4,0,2,1,0,0,40,3,0
34,6,240283,11,9,1,2,2,1,0,0,0,40,3,0
20,2,61777,2,10,4,7,3,1,1,0,0,30,3,0
17,2,175024,5,7,5,1,4,1,1,2176,0,18,3,0
32,6,92003,4,13,4,9,1,1,0,0,0,40,3,1
29,2,188401,11,9,1,0,0,1,1,0,0,40,3,0
33,2,228528,0,6,5,13,2,1,0,0,0,35,3,0
25,2,133373,11,9,4,2,3,1,1,0,0,60,3,0
36,1,255191,9,14,5,6,0,1,1,0,1408,40,3,0
23,2,204653,11,9,5,1,0,1,1,0,0,72,2,0
63,3,222289,11,9,4,9,3,1,1,0,0,40,3,1
47,5,287480,9,14,4,6,3,1,1,0,0,40,3,0
80,5,107762,11,9,6,6,0,1,1,0,0,24,3,0
17,5,202521,5,7,5,6,4,1,1,0,0,40,3,0
40,0,204116,4,13,2,6,0,1,0,2174,0,40,3,0
30,2,29662,8,12,4,5,1,1,0,0,0,25,3,1
27,2,116358,2,10,5,13,4,4,1,0,1980,40,22,0
33,2,208405,9,14,4,6,3,1,1,0,0,50,3,1
34,5,284843,11,9,5,0,0,2,1,594,0,60,3,0
34,5,117018,2,10,5,3,0,1,0,0,0,40,3,0
23,2,81281,2,10,4,10,3,1,1,0,0,40,3,0
42,5,340148,2,10,4,10,1,1,0,0,0,40,3,0
29,2,363425,4,13,5,6,0,1,1,0,0,40,3,0
45,2,45857,11,9,1,10,0,1,0,0,0,28,3,0
24,1,191073,11,9,5,11,4,1,1,0,0,40,3,0
44,2,116632,2,10,4,6,3,1,1,0,0,40,3,1
27,2,405855,15,5,5,13,5,1,1,0,0,40,34,0
